gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,atq,costat
001161,2016-12-31,2016,4,INDL,C,D,STD,AMD,USD,2016Q4,2016Q4,3321.0000,A
001161,2017-03-31,2017,1,INDL,C,D,STD,AMD,USD,2017Q1,2017Q1,3299.0000,A
001161,2017-06-30,2017,2,INDL,C,D,STD,AMD,USD,2017Q2,2017Q2,3370.0000,A
001161,2017-09-30,2017,3,INDL,C,D,STD,AMD,USD,2017Q3,2017Q3,3586.0000,A
001161,2017-12-31,2017,4,INDL,C,D,STD,AMD,USD,2017Q4,2017Q4,3540.0000,A
001161,2018-03-31,2018,1,INDL,C,D,STD,AMD,USD,2018Q1,2018Q1,3763.0000,A
001161,2018-06-30,2018,2,INDL,C,D,STD,AMD,USD,2018Q2,2018Q2,4103.0000,A
001161,2018-09-30,2018,3,INDL,C,D,STD,AMD,USD,2018Q3,2018Q3,4347.0000,A
001161,2018-12-31,2018,4,INDL,C,D,STD,AMD,USD,2018Q4,2018Q4,4556.0000,A
001161,2019-03-31,2019,1,INDL,C,D,STD,AMD,USD,2019Q1,2019Q1,4931.0000,A
001161,2019-06-30,2019,2,INDL,C,D,STD,AMD,USD,2019Q2,2019Q2,5102.0000,A
001161,2019-09-30,2019,3,INDL,C,D,STD,AMD,USD,2019Q3,2019Q3,5253.0000,A
001161,2019-12-31,2019,4,INDL,C,D,STD,AMD,USD,2019Q4,2019Q4,6028.0000,A
001161,2020-03-31,2020,1,INDL,C,D,STD,AMD,USD,2020Q1,2020Q1,5864.0000,A
001161,2020-06-30,2020,2,INDL,C,D,STD,AMD,USD,2020Q2,2020Q2,6583.0000,A
001161,2020-09-30,2020,3,INDL,C,D,STD,AMD,USD,2020Q3,2020Q3,7023.0000,A
001161,2020-12-31,2020,4,INDL,C,D,STD,AMD,USD,2020Q4,2020Q4,8962.0000,A
001161,2021-03-31,2021,1,INDL,C,D,STD,AMD,USD,2021Q1,2021Q1,10047.0000,A
001161,2021-06-30,2021,2,INDL,C,D,STD,AMD,USD,2021Q2,2021Q2,10691.0000,A
001161,2021-09-30,2021,3,INDL,C,D,STD,AMD,USD,2021Q3,2021Q3,11153.0000,A
001161,2021-12-31,2021,4,INDL,C,D,STD,AMD,USD,2021Q4,2021Q4,12419.0000,A
001161,2022-03-31,2022,1,INDL,C,D,STD,AMD,USD,2022Q1,2022Q1,66915.0000,A
001161,2022-06-30,2022,2,INDL,C,D,STD,AMD,USD,2022Q2,2022Q2,67502.0000,A
001161,2022-09-30,2022,3,INDL,C,D,STD,AMD,USD,2022Q3,2022Q3,67811.0000,A
001161,2022-12-31,2022,4,INDL,C,D,STD,AMD,USD,2022Q4,2022Q4,67580.0000,A
001161,2023-03-31,2023,1,INDL,C,D,STD,AMD,USD,2023Q1,2023Q1,67634.0000,A
001161,2023-06-30,2023,2,INDL,C,D,STD,AMD,USD,2023Q2,2023Q2,67967.0000,A
001161,2023-09-30,2023,3,INDL,C,D,STD,AMD,USD,2023Q3,2023Q3,67626.0000,A
001177,2010-03-31,2010,1,INDL,C,D,STD,AET,USD,2010Q1,2010Q1,38972.8000,I
001177,2010-06-30,2010,2,INDL,C,D,STD,AET,USD,2010Q2,2010Q2,38347.8000,I
001177,2010-09-30,2010,3,INDL,C,D,STD,AET,USD,2010Q3,2010Q3,39150.6000,I
001177,2010-12-31,2010,4,INDL,C,D,STD,AET,USD,2010Q4,2010Q4,37739.4000,I
001177,2011-03-31,2011,1,INDL,C,D,STD,AET,USD,2011Q1,2011Q1,37801.3000,I
001177,2011-06-30,2011,2,INDL,C,D,STD,AET,USD,2011Q2,2011Q2,38218.2000,I
001177,2011-09-30,2011,3,INDL,C,D,STD,AET,USD,2011Q3,2011Q3,38694.2000,I
001177,2011-12-31,2011,4,INDL,C,D,STD,AET,USD,2011Q4,2011Q4,38593.1000,I
001177,2012-03-31,2012,1,INDL,C,D,STD,AET,USD,2012Q1,2012Q1,39336.1000,I
001177,2012-06-30,2012,2,INDL,C,D,STD,AET,USD,2012Q2,2012Q2,39452.7000,I
001177,2012-09-30,2012,3,INDL,C,D,STD,AET,USD,2012Q3,2012Q3,39838.4000,I
001177,2012-12-31,2012,4,INDL,C,D,STD,AET,USD,2012Q4,2012Q4,41494.5000,I
001177,2013-03-31,2013,1,INDL,C,D,STD,AET,USD,2013Q1,2013Q1,42517.2000,I
001177,2013-06-30,2013,2,INDL,C,D,STD,AET,USD,2013Q2,2013Q2,49730.3000,I
001177,2013-09-30,2013,3,INDL,C,D,STD,AET,USD,2013Q3,2013Q3,49252.9000,I
001177,2013-12-31,2013,4,INDL,C,D,STD,AET,USD,2013Q4,2013Q4,49871.8000,I
001177,2014-03-31,2014,1,INDL,C,D,STD,AET,USD,2014Q1,2014Q1,52119.0000,I
001177,2014-06-30,2014,2,INDL,C,D,STD,AET,USD,2014Q2,2014Q2,53160.7000,I
001177,2014-09-30,2014,3,INDL,C,D,STD,AET,USD,2014Q3,2014Q3,53025.6000,I
001177,2014-12-31,2014,4,INDL,C,D,STD,AET,USD,2014Q4,2014Q4,53402.1000,I
001177,2015-03-31,2015,1,INDL,C,D,STD,AET,USD,2015Q1,2015Q1,55555.4000,I
001177,2015-06-30,2015,2,INDL,C,D,STD,AET,USD,2015Q2,2015Q2,54641.1000,I
001177,2015-09-30,2015,3,INDL,C,D,STD,AET,USD,2015Q3,2015Q3,53478.4000,I
001177,2015-12-31,2015,4,INDL,C,D,STD,AET,USD,2015Q4,2015Q4,53424.1000,I
001177,2016-03-31,2016,1,INDL,C,D,STD,AET,USD,2016Q1,2016Q1,56423.7000,I
001177,2016-06-30,2016,2,INDL,C,D,STD,AET,USD,2016Q2,2016Q2,70602.0000,I
001177,2016-09-30,2016,3,INDL,C,D,STD,AET,USD,2016Q3,2016Q3,71882.6000,I
001177,2016-12-31,2016,4,INDL,C,D,STD,AET,USD,2016Q4,2016Q4,69146.0000,I
001177,2017-03-31,2017,1,INDL,C,D,STD,AET,USD,2017Q1,2017Q1,56351.0000,I
001177,2017-06-30,2017,2,INDL,C,D,STD,AET,USD,2017Q2,2017Q2,56714.0000,I
001177,2017-09-30,2017,3,INDL,C,D,STD,AET,USD,2017Q3,2017Q3,57383.0000,I
001177,2017-12-31,2017,4,INDL,C,D,STD,AET,USD,2017Q4,2017Q4,55151.0000,I
001177,2018-03-31,2018,1,INDL,C,D,STD,AET,USD,2018Q1,2018Q1,59197.0000,I
001177,2018-06-30,2018,2,INDL,C,D,STD,AET,USD,2018Q2,2018Q2,58316.0000,I
001177,2018-09-30,2018,3,INDL,C,D,STD,AET,USD,2018Q3,2018Q3,57103.0000,I
001209,2010-03-31,2010,2,INDL,C,D,STD,APD,USD,2010Q1,2010Q2,13152.6000,A
